x,y,z,Time,x-velocity,y-velocity,z-velocity,Color
0.1007513531175059,0.0753675058641453,0.1141026480323359,0.235,-0.0128348418216189,4.372382413650889e-07,0.0054758438792688,0.0139797110617187
0.1006867430903262,0.0753675755867577,0.1141304043450875,0.24,-0.0129873781466588,2.4074985663302375e-05,0.0056078265536391,0.014156194892875
0.1006214178983072,0.0753676367599322,0.1141588456835231,0.245,-0.0131232835966714,3.3543718205598586e-06,0.0057485985372307,0.0143423708043031
0.1005553756229681,0.0753676642377477,0.1141879822216549,0.25,-0.0132723336711638,7.101456559412189e-06,0.0058863394431916,0.0145316711998537
0.1004885976666964,0.0753676710987131,0.1142178176759656,0.255,-0.0134180344417329,-2.9247545186702537e-06,0.0060276544263584,0.0147241281672911
0.1004209198743851,0.0753677167588487,0.1142483106729811,0.26,-0.0136237014776655,1.8174613335486887e-05,0.0061518081356608,0.0149675498360811
0.1003522275513381,0.0753678187457077,0.1142795377423869,0.265,-0.013824536958168,2.2064440633458392e-05,0.0063156181902733,0.0152157032264728
0.1002825060109895,0.0753679685670455,0.1143115285865211,0.27,-0.014034136403405,3.588913778475446e-05,0.0064600818042673,0.0154683540727235
0.1002117327288199,0.075368172824136,0.114344280270675,0.275,-0.014245046456778,4.457312832006812e-05,0.0066180281006818,0.0157255495732891
0.1001398890662037,0.0753684297562323,0.1143778083452977,0.28,-0.0144614970730894,5.649638747968799e-05,0.0067713050424404,0.0159476026739379
0.1000669769694846,0.0753686180525258,0.1144118587091827,0.285,-0.0146731110468658,2.353141210317761e-05,0.0068391485778986,0.0162318231456061
0.0999928104861267,0.0753688438849869,0.1144465272475909,0.29,-0.0149534358901402,6.139280231571331e-05,0.0070046270094576,0.0166682316393949
0.0999170707990296,0.0753690468596592,0.1144814843817425,0.295,-0.0152938135663602,2.49965335899349e-05,0.0069815266959808,0.0168777544051742
0.0998399353929662,0.075369444191852,0.1145163948047532,0.3,-0.0155270319474145,0.00012031886726435332,0.0069825030317415,0.0171105306526475
0.099760843266653,0.075369516055865,0.1145533911346842,0.305,-0.0160369702490499,-6.508674588755159e-05,0.0077118382020624,0.017637301061935
0.0996800789662629,0.0753694230086447,0.1145907661126791,0.31,-0.0162397774497631,1.6248532327320456e-05,0.0072973636466703,0.0179211310209656
0.0995977908575275,0.0753693120907944,0.1146278959583445,0.315,-0.0166210049700378,-5.100764687139772e-05,0.0075224232478917,0.0182113936597396
0.0995138580556379,0.0753690996191206,0.1146651486411305,0.32,-0.016910726933858,-3.610935065519631e-05,0.0073966215391826,0.0185084583551514
0.0994283086633717,0.0753688300630049,0.1147023412906919,0.325,-0.017259242092767,-6.726262749926283e-05,0.0074699611920951,0.0188121646521153
0.099340787103213,0.0753686417016128,0.1147396673058771,0.33,-0.0176881144859633,-1.5479516600520207e-05,0.0074616344207661,0.0192229761286571
0.0992511593041736,0.0753685324919279,0.1147770335128398,0.335,-0.0181036437993072,-2.661375226685256e-05,0.0074819466213671,0.0196271370567471
0.0991596037546043,0.0753685288202477,0.1148143784266221,0.34,-0.0184667094997965,1.867522610520929e-05,0.0074592598577793,0.0199522037932716
0.0990659449277685,0.0753685024640931,0.1148513036687253,0.345,-0.0189305572676682,-2.3231073675860604e-05,0.007329389842798,0.0203207137697957
0.0989700860751033,0.0753684024210309,0.1148877633870824,0.35,-0.0193526804820763,-1.7591766519472723e-05,0.0072638590429048,0.0207019337057107
0.0988719943613752,0.0753682243943657,0.1149238515180255,0.355,-0.0198175894432758,-4.911550793284821e-05,0.0071829515478996,0.0210721772239665
0.0987718792212639,0.0753681074783052,0.1149593241276312,0.36,-0.0201771069564851,-4.083990196604195e-06,0.0070281997010477,0.0214072343648085
0.0986695691678795,0.0753682647042752,0.1149942261790143,0.365,-0.0206756884671898,5.809208212452677e-05,0.0069445682083158,0.0217595027092632
0.0985653487624306,0.0753683679014272,0.1150281754331699,0.37,-0.0209703755566981,-7.450058390480533e-06,0.0066738127982124,0.0220872413568713
0.0984589339025145,0.0753683111553315,0.1150608718152363,0.375,-0.0215174193031051,-1.4273589705940894e-05,0.0064383741245722,0.0224562793520637
0.0983501299891012,0.0753681233782667,0.1150923447569644,0.38,-0.021943305217353,-5.5016780393976725e-05,0.0061867490114051,0.0228441085815614
0.0982392032200276,0.0753679460450773,0.1151224257298668,0.385,-0.0223668902627216,-2.0804031003988225e-05,0.0058882787573095,0.0231293398271638
0.098126376143346,0.0753679166798932,0.1151509859249236,0.39,-0.022714309141516,5.325208813513535e-06,0.0055798592018674,0.0234059799702264
0.0980118074055176,0.0753679674834805,0.1151778473447605,0.395,-0.0230633263838133,1.3787348946698483e-05,0.0052166025415271,0.0237024697877974
0.097895241147702,0.0753680344038282,0.1152026600636574,0.4,-0.0235006954475689,1.308160998605342e-05,0.0047719997077671,0.0239794898499527
0.0977768615886177,0.0753680568427517,0.1152251054256459,0.405,-0.0238073240938205,-1.957584266373715e-06,0.0042768769151668,0.0242149070720539
0.0976568372616142,0.0753680244626467,0.1152452926806396,0.41,-0.0241530213808885,-9.864848558539968e-06,0.0038578815614172,0.024483053822399
0.0975353843099184,0.0753679295452414,0.1152632894264062,0.415,-0.0243937670578403,-2.582245541799235e-05,0.0034054498472306,0.0246342229797051
0.0974128475675514,0.0753678951437317,0.1152789213324767,0.42,-0.0245925345350745,7.326313152494147e-06,0.0029170797392605,0.0247829661533705
0.0972891873893528,0.0753679867425455,0.1152919962728224,0.425,-0.0248366614681829,2.656484996661879e-05,0.0023884193165579,0.0249746752580524
0.0971641143113514,0.0753681146225799,0.1153022292238526,0.43,-0.0251480811993594,2.4834374578541432e-05,0.0017902183731763,0.0250634135611407
0.0970381748064729,0.0753683539966266,0.1153097179605273,0.435,-0.0252177658079776,6.515513541154765e-05,0.0012783940562611,0.0252712095662872
0.0969116342211708,0.0753683978686178,0.1153141131683049,0.44,-0.0253758804997264,-3.351115462290701e-05,0.0005795271799513414,0.0252908114455167
0.0967848246046384,0.0753683946875449,0.1153156502593259,0.445,-0.025351455411571,2.401999042772641e-05,0.00010333647239201932,0.0253444427433383
0.0966581577545873,0.0753684199561355,0.1153143108850153,0.45,-0.025319805959211,-9.170986104267195e-06,-0.0005462833629886584,0.0253274179286832
0.0965315772221695,0.0753684239283167,0.1153100012055147,0.455,-0.0253133318767982,8.268503001498388e-06,-0.0010986753029801,0.0253377900719689
0.0964052029242931,0.0753683886997586,0.1153029823389872,0.46,-0.0252460053491548,-1.8531372568314764e-05,-0.001632596807386,0.0253448131506314
0.0962790452649019,0.0753683138797692,0.1152928060422162,0.465,-0.0252206767750514,-1.2288466891368664e-05,-0.0023372562643005,0.025297305491775
0.0961532966793084,0.0753680918167817,0.1152794773336606,0.47,-0.0250964973764404,-6.850569544497135e-05,-0.0029121057962306,0.0251417867543085
0.096029000464289,0.0753679556623333,0.1152633456956686,0.475,-0.024681302224454,3.725214657784362e-06,-0.0034619939500135,0.0249874849707112
0.0959055687585839,0.0753677525529095,0.1152445907440115,0.48,-0.0246901203284376,-7.388220933493922e-05,-0.0039677376174984,0.0248989844139216
0.0957832492626472,0.0753676971217382,0.1152233940650876,0.485,-0.024294233331525,3.601074704878991e-05,-0.0044430344102117,0.0247394357763042
0.0956622145284111,0.0753678930185362,0.1151997605136938,0.49,-0.024141481983984,4.155581902025878e-05,-0.0049394671802049,0.0245057632055565
0.0955430069287069,0.0753679789807221,0.1151738557658224,0.495,-0.0236165484084981,-1.0800992175253545e-06,-0.0053620613698019,0.0242668196513962
0.0954259076003356,0.0753679907980295,0.1151456311010727,0.5,-0.0232723536235771,4.946132014075748e-06,-0.0058570866350568,0.0240001913137221
0.0953101312198368,0.0753679278732291,0.1151153353639945,0.505,-0.0230674679569105,-2.5733279165429914e-05,-0.0062106930010912,0.0237980452387645
0.0951962380564246,0.0753679684216044,0.1150832958235065,0.51,-0.0225620062265797,3.3491890753931405e-05,-0.0065558194199657,0.023514060234856
0.0950845233770615,0.075368007243345,0.1150496478832154,0.515,-0.0221786331071356,-1.1531308860151923e-05,-0.0068599145368965,0.0231820622373554
0.0949753379097015,0.0753680594603608,0.1150144850990655,0.52,-0.0215809387456478,2.6924437170221907e-05,-0.0071620385497982,0.0228044228372938
